Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
ELOPAK;NO0011002586;ELO;"Oslo Børs";NOK;48.00;48.20;47.10;47.95;"04/07/2025 16:25";CET;437389;20846922.65;47.95;04/07/2025
ENDÚR;NO0012555459;ENDUR;"Oslo Børs";NOK;89.00;89.00;87.40;87.90;"04/07/2025 16:39";CET;98108;8632801.40;87.90;04/07/2025
ENERGEIA;NO0012697715;ENERG;"Euronext Growth Oslo";NOK;0.102;0.102;0.092;0.10;"04/07/2025 16:19";CET;3605557;346474.694;0.10;04/07/2025
"ENSURGE MICROPOWER";NO0013186460;ENSU;"Oslo Børs";NOK;1.22;1.224;1.202;1.21;"04/07/2025 16:25";CET;683718;827656.99;1.21;04/07/2025
ENTRA;NO0010716418;ENTRA;"Oslo Børs";NOK;129.20;130.20;128.80;129.80;"04/07/2025 16:25";CET;59826;7764214.40;129.80;04/07/2025
"ENVIPCO HOLDING";NL0015000GX8;ENVIP;"Oslo Børs";NOK;86.20;89.80;85.00;89.80;"04/07/2025 16:25";CET;129245;11328953.20;89.80;04/07/2025
EQUINOR;NO0010096985;EQNR;"Oslo Børs";NOK;259.00;261.90;258.30;261.60;"04/07/2025 16:26";CET;1809263;472502038.45;261.60;04/07/2025
EQVA;NO0010708605;EQVA;"Oslo Børs";NOK;5.02;5.02;4.83;4.93;"04/07/2025 16:17";CET;9020;44687.40;4.93;04/07/2025
EUROPRIS;NO0010735343;EPR;"Oslo Børs";NOK;87.60;88.80;87.30;88.80;"04/07/2025 16:25";CET;113721;10037112.80;88.80;04/07/2025
"EXACT THERAPEUTICS";NO0010852213;EXTX;"Euronext Growth Oslo";NOK;3.00;3.00;2.62;2.82;"04/07/2025 16:04";CET;110552;311596.64;2.82;04/07/2025
"FJORD DEFENCE GR";NO0010778095;DFENS;"Euronext Expand Oslo";NOK;1.56;1.565;1.445;1.50;"04/07/2025 16:19";CET;2781856;4142037.825;1.50;04/07/2025
"FLEKKEFJORD SPAREB";NO0013209858;FFSB;"Euronext Growth Oslo";NOK;123.80;138.00;123.80;126.06;"04/07/2025 16:09";CET;2539;321204.12;126.06;04/07/2025
"FLEX LNG";BMG359472021;FLNG;"Oslo Børs";NOK;226.50;230.00;226.50;228.00;"04/07/2025 16:25";CET;5180;1182628.00;228.00;04/07/2025
FRONTLINE;CY0200352116;FRO;"Oslo Børs";NOK;174.90;180.80;174.50;180.70;"04/07/2025 16:25";CET;969517;173339301.75;180.70;04/07/2025
"GENTIAN DIAGNOSTIC";NO0010748866;GENT;"Oslo Børs";NOK;64.00;64.00;63.00;63.20;"04/07/2025 16:19";CET;3559;226704.60;63.20;04/07/2025
"GENTOO MEDIA";US36467X2062;G2MNO;"Oslo Børs";NOK;13.66;14.04;13.66;13.86;"04/07/2025 16:25";CET;8346;115620.14;13.86;04/07/2025
"GIGANTE SALMON";NO0011013765;GIGA;"Euronext Growth Oslo";NOK;8.58;8.60;8.58;8.60;"04/07/2025 15:43";CET;1365;11712.70;8.60;04/07/2025
"GJENSIDIGE FORSIKR";NO0010582521;GJF;"Oslo Børs";NOK;255.20;258.80;255.20;258.80;"04/07/2025 16:25";CET;119634;30902474.80;258.80;04/07/2025
"GOLDEN ENERGY OFF";NO0013228585;GEOS;"Euronext Growth Oslo";NOK;19.30;19.30;19.30;19.30;"04/07/2025 11:12";CET;420;8106.00;19.30;04/07/2025
"GOLDEN OCEAN GROUP";BMG396372051;GOGL;"Oslo Børs";NOK;79.90;80.50;78.75;80.35;"04/07/2025 16:25";CET;85185;6801491.80;80.35;04/07/2025
GOODTECH;NO0004913609;GOD;"Oslo Børs";NOK;9.30;9.30;9.20;9.20;"04/07/2025 16:25";CET;964;8873.80;9.20;04/07/2025
"GREEN MINERALS";NO0010907744;GEM;"Euronext Growth Oslo";NOK;4.10;4.33;4.02;4.13;"04/07/2025 16:25";CET;167639;690966.74;4.13;04/07/2025
"GRIEG SEAFOOD";NO0010365521;GSF;"Oslo Børs";NOK;75.60;75.70;74.90;74.95;"04/07/2025 16:25";CET;101957;7665274.80;74.95;04/07/2025
"GRONG SPAREBANK";NO0010636491;GRONG;"Euronext Growth Oslo";NOK;148.98;149.00;148.98;149.00;"04/07/2025 15:26";CET;313;46636.10;149.00;04/07/2025
GYLDENDAL;NO0004288200;GYL;"Oslo Børs";NOK;406.00;408.00;406.00;408.00;"04/07/2025 14:59";CET;250;101988.00;408.00;04/07/2025
"HAFNIA LIMITED";SGXZ53070850;HAFNI;"Oslo Børs";NOK;51.10;51.52;50.70;50.90;"04/07/2025 16:25";CET;538948;27489591.56;50.90;04/07/2025
"HAUGESUND SPB";NO0010764053;HGSB;"Oslo Børs";NOK;179.98;179.98;179.98;179.98;"04/07/2025 09:56";CET;40;7199.20;179.98;04/07/2025
"HAV GROUP";NO0010931918;HAV;"Euronext Growth Oslo";NOK;7.30;7.30;7.08;7.16;"04/07/2025 14:03";CET;15142;108436.38;7.16;04/07/2025
"HAVILA KYSTRUTEN";NO0011045429;HKY;"Euronext Growth Oslo";NOK;1.37;1.37;1.36;1.36;"04/07/2025 16:18";CET;116368;159122.715;1.36;04/07/2025
"HAVILA SHIPPING";NO0010257728;HAVI;"Oslo Børs";NOK;1.40;1.40;1.35;1.395;"04/07/2025 15:24";CET;58299;80382.895;1.395;04/07/2025
"HERMANA HOLDING";NO0013401380;HERMA;"Oslo Børs";NOK;13.55;13.80;13.50;13.50;"04/07/2025 16:25";CET;14467;197149.60;13.50;04/07/2025
"HEXAGON COMPOSITES";NO0003067902;HEX;"Oslo Børs";NOK;18.92;18.98;18.42;18.50;"04/07/2025 16:28";CET;1893755;35272279.14;18.50;04/07/2025
"HEXAGON PURUS";NO0010904923;HPUR;"Oslo Børs";NOK;2.265;2.265;2.18;2.18;"04/07/2025 16:25";CET;111576;244504.02;2.18;04/07/2025
